"Whisky","Meta Critic","STDEV","#","Cost","Class","Super Cluster","Cluster","Country","Type"
"GlenDronach vintage 19yo Single Cask (all vintages)","8.99","0.32","19","$$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Nikka Taketsuru 21yo","8.99","0.29","20","$$$$$","SingleMalt-like","ABC","C","Japan","Malt"
"Timorous Beastie 40yo Cask Strength","8.99","0.3","4","$$$$$+","SingleMalt-like","ABC","C","Scotland","Malt"
"Aberlour A'Bunadh (Batch 42)","8.98","0.31","5","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Bladnoch 12yo Sherry Cask (Sheep label)","8.98","0.21","3","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Glenlivet Alpha","8.98","0.11","4","$$$$$+","SingleMalt-like","ABC","C","Scotland","Malt"
"Aberlour A'Bunadh (Batch 36)","8.97","0.45","5","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Aberlour A'Bunadh (Batch 58)","8.97","0.23","7","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Amrut PX Sherry Single Cask 2696 (LCBO)","8.97","0.26","7","$$$$$","SingleMalt-like","ABC","B","India","Malt"
"Bowmore 15yo Laimrig","8.97","0.18","19","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Bushmills 21yo Single Malt","8.97","0.37","11","$$$$$","SingleMalt-like","ABC","C","Ireland","Malt"
"Highland Park 15yo Loki","8.97","0.28","18","$$$$$+","SingleMalt-like","ABC","C","Scotland","Malt"
"Kavalan Solist Sherry Cask","8.97","0.31","26","$$$$$","SingleMalt-like","ABC","A","Taiwan","Malt"
"Kilchoman Port Cask Matured","8.97","0.21","13","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"AnCnoc 1975","8.96","0.55","5","$$$$$+","SingleMalt-like","ABC","B","Scotland","Malt"
"BenRiach 17yo Solstice 2nd Peated Port Finish","8.96","0.40","19","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Glenmorangie Signet","8.96","0.35","28","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Aberlour A'Bunadh (Batch 30)","8.95","0.18","6","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
