name,rating
Eagle Rare 17 Year Bourbon (Fall 2014),9.6
Yellow Spot 12 Year Single Pot Still ,9.6
Booker's 25th Anniversary Bourbon,9.6
Redbreast 21 Year,9.6
William Larue Weller Bourbon (Fall 2013),9.6
Highland Park 40 Year,9.6
Nikka Yoichi 15 Year Single Malt,9.6
Willett Family Estate Bottled Rye 4 Year,9.6
Willett Family Estate Bottled Rye 4 Year,9.6
Talisker 10 Year,9.6
Glenglassaugh Evolution,9.6
Laphroaig 10 Year,9.6
Lagavulin Distillers Edition,9.6
Bowmore 18 Year,9.6
Evan Williams Single Barrel,9.6
Parker's Heritage Cognac Barrel Finish 10 Year Bourbon,9.6
J.P. Wiser's 23 Year Cask Strength Blend,9.5
Casa d'Aristi Xtabentun Honey Liqueur,9.5
GlenDronach Grandeur 27 Year Batch 10,9.5
GlenDronach Grandeur 27 Year Batch 10,9.5
Los Vecinos del Campo Espadin Mezcal,9.5
Drambuie,9.5
Fernet-Branca,9.5
Gooderham & Worts Eleven Souls,9.5
Russell's Reserve 2002 Kentucky Straight Bourbon,9.5
Wild Turkey Master's Keep Revival,9.5
Don Amado Largo Mezcal,9.5
Bruichladdich 1986/30 Sherry: The Magnificent Seven,9.5
Foursquare Triptych,9.5
Chichibu Whisky Matsuri 2017,9.5
Chichibu Whisky Matsuri 2017,9.5
Belvedere Single Estate Rye: Lake Bartężek,9.5
St. George Green Chile Vodka,9.5
Lot No. 40 12 Year Cask Strength ,9.5
Chichibu Japan Warrior Series Bottle One,9.5
Lagavulin 12 Year (2017 Special Release),9.5
Kilbeggan 21 Year,9.5
Stolichnaya Elit,9.5
ESP NOHO Gin,9.5
Mount Gay 1703 Master Select Rum,9.5
Don Q Signature Release Single Barrel 2005,9.5
Don Q Signature Release Single Barrel 2005,9.5
"Colonel E.H. Taylor, Jr. Four Grain Bottled-in-Bond",9.5
Patrón Cask Collection Sherry Añejo ,9.5
Mezcales de Leyenda Puebla,9.5
Cognac Park XO Extra,9.5
Drouet Hors d'Age Paradis de Famille,9.5
Glenkinchie 24 Year 1991 (2016 Special Release),9.5
Old Potrero Hotaling's Single Malt Rye 16 Year,9.5
Alberta Premium 30 Year,9.5
Boldt Genever-Style Gin,9.5
Leopold's Navy Strength American Gin,9.5
Leopold's Navy Strength American Gin,9.5
Nolet's Silver Gin,9.5
Plymouth Navy Strength Gin,9.5
Rutte Celery Gin,9.5
Portobello Road No. 171 Gin,9.5
Eden Mill Sea Buckthorn Original Gin,9.5
Clairin Sajous Rhum Blanc,9.5
Distillery No. 209 Cabernet Sauvignon Barrel Reserve Gin,9.5
Ransom Old Tom Gin,9.5
Lagavulin 25 Year,9.5
The Glenlivet Single Cask: Pullman Water Level Route ,9.5
The Glenlivet Single Cask: Pullman Water Level Route ,9.5
Lagavulin Jazz Festival 2015,9.5
J.P. Wiser's Last Barrels,9.5
Knob Creek Limited Edition 2001,9.5
Chairman's Reserve The Forgotten Casks Rum,9.5
Delord Armagnac 25 Year,9.5
123 Organic Extra Añejo Diablito Tequila ,9.5
Forty Creek John's Private Cask No. 1,9.5
Del Maguey Pechuga Mezcal,9.5
Wahaka Mezcal Tobalá,9.5
Wahaka Mezcal Joven Madre Cuishe,9.5
Wahaka Mezcal Joven Madre Cuishe,9.5
Glenfiddich Rare Collection Vintage 1978 Cask #28121,9.5
Don Pilar Extra Añejo Tequila,9.5
Guillon-Painturaud Renaissance Grande Champagne Cognac,9.5
Mezan Panama Rum 1999,9.5
Clément XO Rhum Agricole,9.5
Appleton Estate 21 Year Rum,9.5
Novo Fogo Tanager Cachaça,9.5
Château de Ravignan Bas-Armagnac 1985,9.5
Clear Creek Pinot Noir Grappa,9.5
Fuenteseca Reserva Extra Añejo Tequila 21 Años ,9.5
Fuenteseca Reserva Extra Añejo Tequila 21 Años ,9.5
Mezcal Vago Tobalá ,9.5
Don Julio Añejo Tequila,9.5
Dulce Vida Añejo 100 Proof Tequila,9.5
Espíritu Lauro Añejo Mezcal,9.5
t1 Tequila Blanco Ultra Fino ,9.5
Gran Centenario Plata Tequila,9.5
"Tequila Ocho Reposado ""Las Pomez"" 2009",9.5
Siembra Azul 10th Anniversary Reposado Tequila,9.5
Caol Ila 30 Year (2014 Special Release),9.5
Benromach Organic ,9.5
Benromach Organic ,9.5
Bruichladdich Black Art 1990 04.1 Edition 23 Year,9.5
Belle Meade Cask Strength Single Barrel Bourbon 9 Year,9.5
Wild Turkey Master's Keep 17 Year Bourbon,9.5
Russell's Reserve Single Barrel Bourbon,9.5
The Macallan No. 6 in Lalique,9.5
Highland Park Freya,9.5
"Colonel E.H. Taylor, Jr. Cured Oak Bottled in Bond Bourbon",9.5
Deanston 18 Year Cognac Cask ,9.5
Edradour Straight From The Cask Port Wood Finish 12 Year,9.5
Arran The Devil's Punch Bowl Chapter III The Fiendish Finale,9.5
Arran The Devil's Punch Bowl Chapter III The Fiendish Finale,9.5
Laphroaig 25 Year ,9.5
Glengoyne 15 Year,9.5
Laphroaig Cairdeas 2014 Amontillado Cask Edition,9.5
Jim Beam Signature Craft 12 Year Bourbon,9.5
Eagle Rare 17 Year Bourbon (Fall 2013),9.5
Lark Single Malt Single Cask,9.5
Lark Single Malt Cask Strength,9.5
Hakushu 25 Year,9.5
Johnnie Walker Green Label 15 Year,9.5
Bruichladdich 1988 / 30: The Untouchable,9.4
Bruichladdich 1988 / 30: The Untouchable,9.4
Eagle Rare 17 Year Bourbon (Fall 2019),9.4
Ardbeg Traigh Bhan 19 Year 2019 Edition,9.4
Próspero Blanco Tequila,9.4
Lo-Fi Aperitifs Gentian Amaro,9.4
Michter's 10 Year Single Barrel Kentucky Straight Rye (2019 Release),9.4
Glen Grant 1948 Private Collection (Gordon & Macphail),9.4
Plantation Extrême No. 3 Jamaica ITP 1996,9.4
St. Germain Elderflower Liqueur ,9.4
Laphroaig 28 Year,9.4
Lot No. 40 11 Year Cask Strength,9.4
Lot No. 40 11 Year Cask Strength,9.4
Eagle Rare 17 Year Bourbon (Fall 2018),9.4
Tequila El Mayor Single Estate Los Lobos Plantation Blanco,9.4
Wyoming Whiskey Barrel Strength Bourbon (Barrel #3242),9.4
Ketel One Botanical Grapefruit & Rose,9.4
King of Kentucky 14 Year Kentucky Straight Bourbon (2018 Release),9.4
Don Amado Pechuga Mezcal,9.4
Don Amado Arroqueño Mezcal,9.4
"Compass Box Hedonism, The Muse",9.4
Booker's Bourbon Batch 2017-04 Sip Awhile,9.4
The Balvenie Tun 1509 Batch 4,9.4
The Balvenie Tun 1509 Batch 4,9.4
Loch Lomond 50 Year,9.4
Gooderham & Worts Three Grain Little Trinity 17 Year,9.4
Nikka Coffey Vodka,9.4
George T. Stagg Bourbon (Fall 2017),9.4
Absolut Vodka,9.4
Old Forester Birthday Bourbon 2017,9.4
Port Ellen 37 Year (2017 Special Release),9.4
Sotol Coyote Blanco Chihuahua,9.4
Benromach 1974 Heritage Single Cask #1583,9.4
Stolichnaya Vodka,9.4
Stolichnaya Vodka,9.4
Foursquare Criterion,9.4
Craigellachie 31 Year ,9.4
Laphroaig Cairdeas 2017 Cask Strength Quarter Cask Edition,9.4
J.P. Wiser's Dissertation,9.4
Compass Box Rivals,9.4
Four Roses Limited Edition 50th Anniversary Small Batch Bourbon (2017),9.4
"Booker's Bourbon Batch 2017-01 ""Tommy's Batch""",9.4
Johnnie Walker 18 Year,9.4
anCnoc 35 Year ,9.4
WhistlePig The Boss Hog III: The Independent,9.4
WhistlePig The Boss Hog III: The Independent,9.4
Hamilton Saint Lucian Pot Still Rum 2006,9.4
Bruichladdich Black Art 1992 05.1 Edition 24 Year,9.4
4 Copas Tequila Añejo,9.4
Cognac Park XO Cigar Blend,9.4
Privateer Navy Yard Rum,9.4
Caol Ila 15 Year 2000 (2016 Special Release),9.4
Cambus 40 Year 1975 (2016 Special Release),9.4
Belle Meade Bourbon Madeira Cask Finish,9.4
La Mauny V.S.O.P.,9.4
Filliers 15 Year Oude Graanjenever,9.4
Filliers 15 Year Oude Graanjenever,9.4
Hammer & Son Old English Gin,9.4
Sipsmith VJOP London Dry Gin,9.4
Opihr Oriental Spiced Gin,9.4
