name,rating,type
Real Minero Barril Mezcal,9.6,Sotol Blanco
Appleton Estate 30 Year Rum ,9.6,Mezcal Joven
Reisetbauer Carrot Eau-de-Vie,9.6,Tequila Extra Añejo
Octomore 07.3/169 Islay Barley,9.6,Tequila Reposado
Lhéraud Cuvée 20 Cognac,9.6,Tequila Reposado
The Macallan Reflexion,9.6,Tequila Añejo
Four Roses Limited Edition Small Batch Bourbon (2015),9.6,Mezcal Joven
El Dorado 25 Year Rum,9.6,Tennessee
El Dorado 25 Year Rum,9.6,Bourbon
Baron Gaston Legrand Bas Armagnac 1984,9.6,Single Malt
Mezcal Pierde Almas Wild Tepextate,9.6,Single Malt
Sotol Por Siempre,9.6,Pisco 
Koch el Mezcal Coyote,9.6,Single Malt
Tears of Llorona Extra Añejo Tequila,9.6,Single Malt
t1 Tequila Reposado Excepcional ,9.6,Peated Single Malt
Corralejo Reposado Tequila ,9.6,Single Malt
Chinaco Añejo Tequila,9.6,Single Malt
El Jolgorio Tobalá Mezcal,9.6,Bourbon
Jack Daniel's Sinatra Century,9.6,Single Malt
Jack Daniel's Sinatra Century,9.6,Peated Single Malt
Eagle Rare 17 Year Bourbon (Fall 2015),9.6,Bourbon
The Glenrothes Extraordinary Single Cask 1969 #11485,9.6,Single Pot Still
The Balvenie Tun 1509 Batch 2,9.6,Bourbon
La Diablada Puro Moscatel Pisco,9.6,Single Pot Still
Overeem Bourbon Cask Matured Single Malt Cask Strength ,9.6,Bourbon
Nikka Yoichi 20 Year,9.6,Peated Single Malt
Laphroaig 15 Year 200th Anniversary ,9.6,Peated Single Malt
Dalmore Constellation 1979 Cask 1093 33 Year,9.6,Rye
Balblair 1990 2nd Release,9.6,Peated Single Malt
Woodford Reserve Master's Collection Four Wood Bourbon,9.6,Single Malt
Woodford Reserve Master's Collection Four Wood Bourbon,9.6,Peated Single Malt
Benromach Vintage 1976,9.6,Peated Single Malt
Laphroaig 30 Year,9.6,Peated Single Malt
Eagle Rare 17 Year Bourbon (Fall 2014),9.6,Bourbon
Yellow Spot 12 Year Single Pot Still ,9.6,Bourbon
Booker's 25th Anniversary Bourbon,9.6,Canadian
Redbreast 21 Year,9.6,Other Liqueurs
William Larue Weller Bourbon (Fall 2013),9.6,Single Malt
Highland Park 40 Year,9.6,Mezcal Joven
Nikka Yoichi 15 Year Single Malt,9.6,Herbal/Spice Liqueurs
Willett Family Estate Bottled Rye 4 Year,9.6,Amaro
Willett Family Estate Bottled Rye 4 Year,9.6,Canadian
Talisker 10 Year,9.6,Bourbon
Glenglassaugh Evolution,9.6,Bourbon
Laphroaig 10 Year,9.6,Mezcal Joven
Lagavulin Distillers Edition,9.6,Single Malt
Bowmore 18 Year,9.6,Aged Rum
Evan Williams Single Barrel,9.6,Single Malt
Parker's Heritage Cognac Barrel Finish 10 Year Bourbon,9.6,Unflavored Vodka
J.P. Wiser's 23 Year Cask Strength Blend,9.5,Flavored Vodka
Casa d'Aristi Xtabentun Honey Liqueur,9.5,Canadian
GlenDronach Grandeur 27 Year Batch 10,9.5,Single Malt
GlenDronach Grandeur 27 Year Batch 10,9.5,Peated Single Malt
Los Vecinos del Campo Espadin Mezcal,9.5,Blended
Drambuie,9.5,Unflavored Vodka
Fernet-Branca,9.5,Modern Gin
Gooderham & Worts Eleven Souls,9.5,Aged Rum
Russell's Reserve 2002 Kentucky Straight Bourbon,9.5,Aged Rum
Wild Turkey Master's Keep Revival,9.5,Bourbon
Don Amado Largo Mezcal,9.5,Tequila Añejo
Bruichladdich 1986/30 Sherry: The Magnificent Seven,9.5,Mezcal Joven
Foursquare Triptych,9.5,Cognac
Chichibu Whisky Matsuri 2017,9.5,Cognac
Chichibu Whisky Matsuri 2017,9.5,Single Malt
Belvedere Single Estate Rye: Lake Bartężek,9.5,Single Malt
St. George Green Chile Vodka,9.5,Canadian
Lot No. 40 12 Year Cask Strength ,9.5,Genever-Style
Chichibu Japan Warrior Series Bottle One,9.5,Navy-Strength Gin
Lagavulin 12 Year (2017 Special Release),9.5,Modern Gin
Kilbeggan 21 Year,9.5,Navy-Strength Gin
Stolichnaya Elit,9.5,Flavored Gin
ESP NOHO Gin,9.5,London Dry Gin
Mount Gay 1703 Master Select Rum,9.5,Flavored Gin
Don Q Signature Release Single Barrel 2005,9.5,Silver Rum
Don Q Signature Release Single Barrel 2005,9.5,Barrel-Aged Gin
"Colonel E.H. Taylor, Jr. Four Grain Bottled-in-Bond",9.5,Old Tom Gin
Patrón Cask Collection Sherry Añejo ,9.5,Peated Single Malt
Mezcales de Leyenda Puebla,9.5,Single Malt
Cognac Park XO Extra,9.5,Peated Single Malt
Drouet Hors d'Age Paradis de Famille,9.5,Canadian
Glenkinchie 24 Year 1991 (2016 Special Release),9.5,Bourbon
Old Potrero Hotaling's Single Malt Rye 16 Year,9.5,Aged Rum
Alberta Premium 30 Year,9.5,Armagnac
Boldt Genever-Style Gin,9.5,Tequila Extra Añejo
Leopold's Navy Strength American Gin,9.5,Canadian
Leopold's Navy Strength American Gin,9.5,Mezcal Joven
Nolet's Silver Gin,9.5,Mezcal Joven
Plymouth Navy Strength Gin,9.5,Mezcal Joven
Rutte Celery Gin,9.5,Single Malt
Portobello Road No. 171 Gin,9.5,Tequila Extra Añejo
Eden Mill Sea Buckthorn Original Gin,9.5,Cognac
Clairin Sajous Rhum Blanc,9.5,Aged Rum
Distillery No. 209 Cabernet Sauvignon Barrel Reserve Gin,9.5,Rhum Agricole Vieux
Ransom Old Tom Gin,9.5,Aged Rum
Lagavulin 25 Year,9.5,Cachaça 
The Glenlivet Single Cask: Pullman Water Level Route ,9.5,Armagnac
The Glenlivet Single Cask: Pullman Water Level Route ,9.5,Grappa/Marc 
Lagavulin Jazz Festival 2015,9.5,Tequila Extra Añejo
J.P. Wiser's Last Barrels,9.5,Mezcal Joven
Knob Creek Limited Edition 2001,9.5,Tequila Añejo
Chairman's Reserve The Forgotten Casks Rum,9.5,Tequila Añejo
Delord Armagnac 25 Year,9.5,Mezcal Añejo
