name,rating,type
Glenmorangie Companta,8.82,Malt
Smogen Sherry Project 1:4,8.82,Malt
Aberlour A'Bunadh (Batch 60),8.81,Malt
Amrut PX Sherry Single Cask (all casks),8.81,Malt
GlenDronach 18yo Allardice,8.81,Malt
Glenlivet Nadurra Cask Strength (NAS),8.81,Malt
Laphroaig PX Triple Matured,8.81,Malt
Longmorn 15yo,8.81,Malt
Royal Brackla 21yo,8.81,Malt
Ben Nevis 18yo The Maltman,8.8,Malt
GlenDronach 18yo Tawny Port Finish,8.8,Malt
Kavalan Brandy Oak,8.8,Malt
Two Brewers Release 02 Special Finishes,8.8,Malt
AnCnoc 22yo,8.79,Malt
Deanston 2008 Bordeaux Red Wine Cask Matured,8.79,Malt
Glenfiddich Snow Phoenix,8.79,Malt
Glengoyne Teapot Dram (all batches),8.79,Malt
Glenmorangie Bacalta,8.79,Malt
Highland Park Full Volume,8.79,Malt
Longrow Red 11yo Australian Shiraz,8.79,Malt
Springbank 15yo,8.79,Malt
Aberlour A'Bunadh (Batch 48),8.78,Malt
Arran Malt Amarone Cask Finish,8.78,Malt
Macallan Reflexion,8.78,Malt
Balvenie 21yo Port Wood,8.77,Malt
Glen Garioch 15yo Renaissance Chapter 1,8.77,Malt
GlenDronach 21yo Parliament,8.77,Malt
Longrow Red 11yo Cabernet Sauvignon,8.77,Malt
Millstone 12yo Sherry Cask,8.76,Malt
Smogen Sherry Project 1:3,8.76,Malt
Arran Malt Sassicaia Wine Cask Finish,8.75,Malt
Glenfarclas 17yo,8.75,Malt
Glenfarclas 25yo,8.75,Malt
Glenrothes Minister's Reserve,8.75,Malt
Glenrothes Whisky Maker's Cut,8.75,Malt
Macallan Classic Cut (all editions),8.75,Malt
Aberlour 18yo,8.74,Malt
Aberlour A'Bunadh (Batch 50),8.73,Malt
GlenDronach Cask Strength (batch 5),8.73,Malt
Glenfarclas 105,8.73,Malt
Highland Park 15yo Fire,8.73,Malt
Longmorn 16yo,8.73,Malt
Macallan Ruby,8.73,Malt
Scallywag Cask Strength (all batches),8.73,Malt
Glengoyne Cask Strength (batch 1),8.72,Malt
Macallan Rare Cask Batch 1,8.71,Malt
Springbank 13yo Green,8.71,Malt
Teerenpeli Distiller’s Choice KARHI,8.71,Malt
Bowmore 10yo Devil's Cask (all batches),8.7,Malt
Glenmorangie Nectar d'Or,8.7,Malt
Highland Park 15yo,8.7,Malt
Jura Brooklyn,8.7,Malt
Karuizawa Asama Vintages 1999-2000,8.7,Malt
Mortlach 16yo (F&F),8.7,Malt
Sheep Dip 1999 Amoroso Blended Malt,8.7,Malt
Smogen Sherry Project 1:1,8.7,Malt
Two Brewers Special Finishes (all releases),8.7,Malt
Deanston 10yo PX Finish,8.69,Malt
Knappogue Castle 16yo Twin Wood,8.69,Malt
Ledaig 18yo,8.69,Malt
Macallan Sienna,8.69,Malt
Amrut Bengal Tiger PX Single Cask (Canada),8.68,Malt
Glen Garioch 15yo Wine Cask Matured,8.68,Malt
Mortlach 15yo (Gordon & MacPhail),8.68,Malt
Aberlour A'Bunadh (Batch 38),8.67,Malt
Arran Malt Madeira Wine Cask,8.67,Malt
Bunnahabhain Moine (all bottlings),8.67,Malt
Glenmorangie The Taghta,8.67,Malt
Redbreast Lustau Edition,8.67,Malt
Tomatin 18yo,8.67,Malt
Tomatin Cu Bocan 2005 Limited Edition,8.67,Malt
BenRiach 21yo Tawny Port Finish,8.66,Malt
Glencadam 14yo Oloroso Sherry Cask Finish,8.66,Malt
Glengoyne Cask Strength (all batches),8.66,Malt
Glengoyne Cask Strength (batch 2),8.66,Malt
Highland Park Valknut,8.66,Malt
Sullivans Cove French Oak,8.66,Malt
Compass Box The Story of the Spaniard,8.65,Malt
GlenDronach 15yo Tawny Port Finish,8.65,Malt
Glenfarclas 21yo,8.65,Malt
Glenfiddich 21yo Gran Reserva,8.65,Malt
Longrow Red 14yo Burgundy Wood,8.65,Malt
Ohishi Sherry Single Cask,8.65,Malt
Redbreast Mano a Lámh,8.65,Malt
Ardbeg Galileo,8.64,Malt
Balvenie 17yo Doublewood,8.64,Malt
BenRiach 12yo Matured in Sherry Wood,8.64,Malt
Benromach 15yo,8.64,Malt
Oban Distillers Edition (all vintages),8.64,Malt
Balblair 1989,8.63,Malt
Glenfarclas 15yo,8.63,Malt
Glenrothes 18yo,8.63,Malt
Tomatin 14yo Portwood,8.63,Malt
Two Brewers Release 09 Special Finishes,8.63,Malt
Aberlour 16yo Double Cask Matured,8.62,Malt
Aberlour A'Bunadh (Batch 57),8.62,Malt
Hazelburn 12yo (Springbank),8.62,Malt
Kilchoman Sherry Single Cask,8.62,Malt
Macallan 25yo Fine Oak,8.62,Malt
Swiss Highland Classic Single Malt,8.62,Malt
Tamdhu Batch Strength (all batches),8.62,Malt
Timorous Beastie 12yo Cask Strength,8.62,Malt
AnCnoc 2000,8.61,Malt
Arran Malt Port Cask Finish,8.61,Malt
GlenDronach Cask Strength (batch 7),8.61,Malt
Glengoyne 18yo,8.61,Malt
Highland Park Magnus (2017),8.61,Malt
Highland Park Valkyrie,8.61,Malt
Red Spot 15yo,8.61,Malt
Ben Nevis 10yo Cask Strength,8.6,Malt
Dalmore Port Wood Reserve,8.6,Malt
GlenDronach 18yo Marsala Finish,8.59,Malt
Glenfarclas 12yo,8.59,Malt
Glenmorangie Quinta Ruban,8.59,Malt
Tobermory 15yo,8.59,Malt
Amrut Naarangi,8.58,Malt
Balvenie 16yo Triple Cask,8.58,Malt
GlenDronach 12yo Original,8.58,Malt
Glenmorangie Dornoch,8.58,Malt
Bowmore 12yo Enigma,8.57,Malt
Kilchoman Madeira Cask Matured,8.57,Malt
Santis Alpstein (all editions),8.56,Malt
Spirit of Hven Sankt Claus,8.56,Malt
Bowmore 15yo Darkest,8.55,Malt
Glenmorangie A Midwinter Night’s Dram,8.55,Malt
Macallan 12yo Sherry Oak,8.55,Malt
Dalmore 18yo,8.54,Malt
Dalwhinnie Distillers Edition,8.54,Malt
"Glenfarclas 1968-2000 54.2% (OB, Old Stock Reserve, Ceramic)",8.54,Malt
Glenfiddich 15yo Solera,8.54,Malt
Glengoyne 12yo Cask Strength,8.54,Malt
Aberfeldy 18yo,8.53,Malt
Glen Garioch 1999 Sherry Cask Matured,8.53,Malt
Macallan 30yo Fine Oak,8.53,Malt
Aberlour Casg Annamh,8.52,Malt
Ben Nevis 10yo (all editions),8.52,Malt
Glengoyne Cask Strength (batch 4),8.52,Malt
Jura 18yo,8.52,Malt
Macallan Whisky Maker's Edition,8.52,Malt
Talisker Port Ruighe,8.52,Malt
Teerenpeli Distiller’s Choice AURA,8.52,Malt
Tomatin Oloroso Sherry 1995,8.52,Malt
Tyrconnell 10yo Port Cask Finish,8.52,Malt
Glenmorangie Duthac,8.51,Malt
Kavalan Sherry Oak,8.51,Malt
Redbreast All Sherry Single Cask 1999,8.51,Malt
Amrut PX Sherry Single Cask 2701,8.5,Malt
Mackmyra Midvinter,8.5,Malt
Arran Malt Sherry Single Cask,8.49,Malt
Glenmorangie The Tayne,8.49,Malt
Glengoyne 12yo,8.48,Malt
Glengoyne 15yo,8.48,Malt
Penderyn Portwood,8.48,Malt
Tyrconnell 10yo Sherry Cask Finish,8.48,Malt
Jura 16yo Diurach's Own,8.47,Malt
Glenfiddich 19yo Age of Discovery (Madeira Cask),8.46,Malt
Smogen Primör,8.46,Malt
Westland Winter 2016,8.46,Malt
Bushmills 16yo Single Malt,8.45,Malt
Glenglassaugh 26yo,8.45,Malt
Glengoyne Cask Strength (batch 3),8.45,Malt
Highland Park Dark Origins,8.45,Malt
BenRiach 15yo Tawny Port Finish,8.44,Malt
Glenmorangie Milsean,8.44,Malt
Green Spot Chateau Montelena,8.44,Blend
Ledaig 1996,8.44,Malt
Westland Sherry Wood,8.44,Malt
Blair Athol 12yo (F&F),8.43,Malt
Glenlivet Nadurra Oloroso,8.43,Malt
Glentauchers 1991 18yo (Gordon & MacPhail),8.43,Malt
Dalmore Cigar Malt,8.42,Malt
Highland Park 12yo Saint Magnus,8.42,Malt
Macallan 10yo Sherry Oak,8.42,Malt
Balvenie 12yo Doublewood,8.41,Malt
Ohishi Sherry Cask,8.41,Malt
Lismore 21yo,8.4,Malt
Glenmorangie Lasanta,8.39,Malt
Wemyss Malts The Spice King,8.39,Malt
Bladnoch 15yo Adela,8.38,Malt
Bruichladdich Rocks,8.38,Malt
Singleton of Glen Ord 18yo,8.38,Malt
Aberfeldy 16yo,8.37,Malt
Aberlour 12yo Double Cask Matured,8.37,Malt
Arran Malt Sherry Cask Finish,8.37,Malt
Dalmore 15yo,8.37,Malt
Glen Moray Classic Sherry Cask finish,8.37,Malt
Bushmills Black Bush,8.36,Blend
Jura 21yo,8.36,Malt
Glenfarclas 10yo,8.35,Malt
Mackmyra Skordetid,8.35,Malt
GlenDronach 14yo Sauternes Cask Finish,8.34,Malt
Teeling Single Malt,8.34,Malt
Glen Moray Classic Port Cask finish,8.33,Malt
Arran Malt Pomerol Bordeaux Cask Finish,8.32,Malt
Bushmills Sherry Cask Reserve,8.31,Malt
Kavalan Concertmaster Port Cask,8.31,Malt
Timorous Beastie,8.31,Malt
Balvenie 12yo Triple Cask,8.3,Malt
Glencadam 12yo Port Wood Finish,8.3,Malt
Glenfiddich Malt Master's Edition,8.3,Malt
Tomatin Cu Bocan Sherry Edition,8.3,Malt
Game of Thrones House Baratheon Royal Lochnagar 12 ans,8.29,Malt
Glenfiddich Reserve Cask,8.29,Malt
Auchentoshan Three Wood,8.28,Malt
Benrinnes 15yo F&F,8.28,Malt
Dalmore Cigar Malt Reserve,8.28,Malt
Jura 12yo Elixir,8.28,Malt
Writers Tears Red Head Single Malt,8.28,Malt
Dalmore King Alexander III,8.27,Malt
Jura 21yo 200th Anniversary,8.27,Malt
Aberlour 10yo,8.26,Malt
"Ben Nevis 10yo (old label, pre-2017)",8.24,Malt
Glen Scotia Double Cask,8.24,Malt
Glen Moray 16yo,8.23,Malt
Singleton of Dufftown Tailfire,8.23,Malt
Bowmore Black Rock,8.22,Malt
Glenrothes Robur Reserve,8.22,Malt
Macallan Select Oak,8.22,Malt
Wemyss Malts Velvet Fig,8.22,Malt
Glen Garioch 16yo Renaissance Chapter 2,8.2,Malt
Glenglassaugh Revival,8.19,Malt
