name,rating
Ardbeg 2005 SMWS 33.112,7.8
Ardbeg Airigh Nam Beist,9.1
Ardbeg Alligator,8.8
Ardbeg Almost There,8.8
Ardbeg Ar1 Elements of Islay,8.8
Ardbeg Ar2 Elements of Islay,8.8
Ardbeg Ardbog,7.8
Ardbeg Auriverdes,8.5
Ardbeg Blasda,8.1
Ardbeg Committee Reserve,9.1
Ardbeg Corryvreckan,8.8
Ardbeg Corryvreckan Committee Release,8.8
Ardbeg Dark Cove,8.8
Ardbeg Day Committee Release,8.5
Ardbeg Feis Ile 2011,8.8
Ardbeg Galileo,8.1
Ardbeg Kelpie Committee Release,8.8
Ardbeg Kildalton 1980,8.8
Ardbeg Kildalton 1981,9.4
Ardbeg Kildalton 2014 Release,8.5
Ardbeg Lord of the Isles,9.1
Ardbeg Perpetuum,8.1
Ardbeg Provenance,9.4
Ardbeg Provenance (3rd Release),9.4
Ardbeg Renaissance,8.5
Ardbeg Rollercoaster,8.1
Ardbeg SMWS 33.80,8.8
Ardbeg Still Young ,8.5
Ardbeg Supernova,8.8
Ardbeg Supernova 2010,8.8
Ardbeg Supernova 2014,8.8
Ardbeg Supernova 2019,8.8
Ardbeg Uigeadail,9.1
Ardbeg Very Old 30,8.8
Ardmore 1977 Cadenhead's,8.8
Ardmore 1977 Murray McDavid,8.8
Ardmore 1977 Scott's Selection,8.8
Ardmore 1992 Single Malts of Scotland,8.5
Ardmore 1992 Whisky Doris Cask 4652,8.1
Ardmore 1996 Gordon & MacPhail,7.8
Ardmore 2000 Exclusive Malts,8.5
Ardmore 2000 Villa Konthor,7.8
Ardmore 30,8.8
Ardmore Traditional Cask,7.8
Armorik Whisky Breton,7.5
"Arran ""The Peated Arran""",7.8
Arran 10,7.8
Arran 14 (2010),8.1
Arran 15th Anniversary,8.5
Arran 1996 Blackadder Raw Cask (Lochranza),7.8
Arran 1996 Murray McDavid,8.1
Arran 1996 Vintage,7.8
Arran 2000 for K&L,8.8
Arran 2002 SMWS 121.38,8.5
Arran Amarone Finish,8.1
Arran Chateau Margaux,7.8
Arran Cream Sherry Finish,8.8
Arran Founder's Reserve,8.5
Arran Lepanto PX Brandy Finish,8.5
Arran Lochranza Reserve,7.5
Arran Madeira Finish,8.5
Arran Single Cask (Bourbon Cask #2096),8.8
Arran Single Cask (Bourbon Cask #650),8.8
Arran SMWS 121.21,8.8
Arran The Devil's Punch Bowl 1,8.1
Arrran Single Cask 3rd Bottling,8.1
Auchentoshan 10,8.1
Auchentoshan 12,7.5
Auchentoshan 18,8.1
Auchentoshan 1965 Cask 2497,8.5
Auchentoshan 1966 Sam's Wine & Spirits,9.1
